"Draft Planner Cheat Sheet",VBD2,Value Based Drafting from Draft Planner,08/06/2019,710
304,12785,Robinson,Demarcus,WR,KCC,82.6,-116.1,12
305,13664,Quinn,Trey,WR,WAS,81.4,-117.3,10
306,9884,Thomas,Demaryius,WR,NEP,81.2,-117.5,10
307,14104,Brown,A.J.,WR,TEN,80.9,-117.8,11
308,10734,Wright,Jarius,WR,CAR,80.5,-118.2,7
309,13348,Moore,David,WR,SEA,80.3,-118.4,11
310,10432,Green,Virgil,TE,LAC,41.7,-120.3,12
311,11252,Toilolo,Levine,TE,SFO,41.7,-120.3,4
312,11448,Harris,Demetrius,TE,CLE,41.3,-120.7,7
313,11701,Grimble,Xavier,TE,PIT,40.6,-121.4,7
314,13246,Alie-Cox,Mo,TE,IND,40.5,-121.5,6
315,11399,Griffin,Ryan,TE,NYJ,40.0,-122.1,4
316,11529,Hill,Josh,TE,NOS,39.8,-122.3,9
317,14143,Knox,Dawson,TE,BUF,39.4,-122.6,6
318,13591,Rosen,Josh,QB,MIA,190.2,-122.7,5
319,10983,Hogan,Chris,WR,CAR,75.5,-123.2,7
320,11007,Celek,Garrett,TE,SFO,38.6,-123.5,4
321,13564,Ficken,Sam,K,GBP,7.9,-123.7,11
322,12328,Boyle,Nick,TE,BAL,38.0,-124.0,8
323,13890,Croom,Jason,TE,BUF,37.4,-124.6,6
324,12330,O'Shaughnessy,James,TE,JAC,37.2,-124.8,10
325,13819,Thomas,Jordan,TE,HOU,37.2,-124.8,10
326,7942,Sproles,Darren,RB,PHI,93.4,-124.9,10
327,13753,Akins,Jordan,TE,HOU,35.5,-126.5,10
328,11237,Shepard,Russell,WR,NYG,71.2,-127.5,11
329,14112,Campbell,Parris,WR,IND,71.0,-127.7,6
330,14140,Sternberger,Jace,TE,GBP,34.4,-127.7,11
331,14123,Renfrow,Hunter,WR,OAK,70.8,-127.9,6
332,12471,Roberts,Seth,WR,BAL,70.5,-128.2,8
333,13880,Arnold,Dan,TE,NOS,33.5,-128.6,9
334,12814,Grant,Jakeem,WR,MIA,70.0,-128.7,5
335,11188,Riddick,Theo,RB,DEN,89.1,-129.2,10
336,10354,Stocker,Luke,TE,ATL,32.8,-129.2,9
337,12213,Bell,Blake,TE,KCC,31.1,-131.0,12
344,13065,Tomlinson,Eric,TE,NYJ,30.1,-131.9,4
345,14105,Brown,Marquise,WR,BAL,66.6,-132.1,8
346,11381,Willson,Luke,TE,OAK,29.7,-132.3,6
347,10742,Allen,Dwayne,TE,MIA,27.8,-134.2,5
348,12164,Davis,Mike,RB,CHI,83.7,-134.6,6
349,11225,Patterson,Cordarrelle,WR,CHI,63.1,-135.6,6
350,12792,DeValve,Seth,TE,CLE,24.8,-137.2,7
351,13631,Washington,James,WR,PIT,61.3,-137.4,7
352,14223,Mattison,Alexander,RB,MIN,80.8,-137.5,12
353,13488,Pascal,Zach,WR,IND,61.2,-137.5,6
354,14209,Oliver,Josh,TE,JAC,24.5,-137.6,10
355,13133,Perine,Samaje,RB,WAS,80.1,-138.2,10
356,11076,Kearse,Jermaine,WR,DET,60.4,-138.3,5
357,13136,Clement,Corey,RB,PHI,79.8,-138.5,10
358,11758,Latimer,Cody,WR,NYG,59.7,-139.0,11
359,14284,Thompson,Darwin,RB,KCC,79.1,-139.2,12
360,10699,Foles,Nick,QB,JAC,173.3,-139.6,10
361,13167,Taylor,Taywan,WR,TEN,58.2,-140.5,11
362,8269,Lewis,Marcedes,TE,GBP,20.6,-141.5,11
363,12309,Pruitt,MyCole,TE,TEN,20.5,-141.6,11
364,12206,Williams,Maxx,TE,ARZ,20.4,-141.7,12
365,14195,Warring,Kahale,TE,HOU,20.0,-142.1,10
366,13776,Watson,Justin,WR,TBB,56.3,-142.4,7
367,13637,St. Brown,Equanimeous,WR,GBP,55.9,-142.8,11
368,13195,Leggett,Jordan,TE,TBB,18.7,-143.4,7
369,12629,Booker,Devontae,RB,DEN,74.2,-144.1,10
370,14141,Smith Jr.,Irv,TE,MIN,17.7,-144.3,12
371,11957,Inman,Dontrelle,WR,NEP,54.4,-144.4,10
372,13135,Gallman,Wayne,RB,NYG,73.6,-144.7,11
373,13772,Schultz,Dalton,TE,DAL,17.1,-144.9,8
374,12207,O'Leary,Nick,TE,MIA,16.9,-145.1,5
375,14124,Johnson,KeeSean,WR,ARZ,53.5,-145.2,12
376,14136,Samuel,Deebo,WR,SFO,52.8,-145.9,4
377,10123,Paulsen,Logan,TE,ATL,16.1,-146.0,9
378,14080,Singletary,Devin,RB,BUF,71.1,-147.2,6
379,10940,Carrier,Derek,TE,OAK,14.3,-147.7,6
380,12394,Carter,DeAndre,WR,HOU,50.5,-148.2,10
381,12657,Sharpe,Tajae,WR,TEN,50.3,-148.4,11
382,11456,Brown,Jaron,WR,SEA,49.8,-148.9,11
383,12257,Conley,Chris,WR,JAC,49.8,-149.0,10
384,12632,Dixon,Kenneth,RB,BAL,69.2,-149.1,8
385,12185,Hardy,Justin,WR,ATL,49.0,-149.7,9
386,12731,Rogers,Eli,WR,PIT,48.7,-150.0,7
387,13882,Kirkwood,Keith,WR,NOS,47.6,-151.1,9
388,12645,Treadwell,Laquon,WR,MIN,47.1,-151.7,12
389,13647,Ateman,Marcell,WR,OAK,47.0,-151.7,6
390,12138,Simonson,Scott,TE,NYG,10.0,-152.1,11
391,13377,Patrick,Tim,WR,DEN,46.6,-152.1,10
392,13165,Switzer,Ryan,WR,PIT,46.6,-152.1,7
393,10300,Rodgers,Jacquizz,RB,NOS,65.8,-152.5,9
394,13620,Jackson,Justin,RB,LAC,65.7,-152.6,12
395,13676,Smythe,Durham,TE,MIA,9.3,-152.8,5
396,12868,Braunecker,Ben,TE,CHI,8.9,-153.2,6
397,12859,Anderson,Stephen,TE,NEP,8.8,-153.2,10
398,12264,Zenner,Zach,RB,DET,65.1,-153.2,5
399,13190,Butt,Jake,TE,DEN,8.8,-153.2,10
400,13611,Adams,Josh,RB,PHI,64.9,-153.4,10
401,13445,Auclair,Antony,TE,TBB,8.6,-153.4,7
402,12816,Morgan,David,TE,MIN,8.2,-153.8,12
403,13108,McKissic,J.D.,RB,SEA,64.0,-154.3,11
404,13726,Edmonds,Chase,RB,ARZ,62.7,-155.6,12
405,12209,Koyack,Ben,TE,JAC,6.4,-155.6,10
406,10747,Charles,Orson,TE,CLE,6.3,-155.7,7
407,11199,Ware,Spencer,RB,IND,62.3,-156.0,6
408,11647,Thomas,Logan,TE,DET,5.8,-156.3,5
409,13316,Taylor,Trent,WR,SFO,42.0,-156.7,4
410,13427,Tonyan,Robert,TE,GBP,5.3,-156.7,11
411,13315,Saubert,Eric,TE,ATL,5.2,-156.8,9
412,13675,Conklin,Tyler,TE,MIN,5.0,-157.0,12
413,12955,Manhertz,Chris,TE,CAR,4.8,-157.2,7
414,13893,Sherfield,Trent,WR,ARZ,41.4,-157.3,12
415,12210,Walford,Clive,TE,NYJ,4.7,-157.3,4
416,11931,Fowler,Bennie,WR,NYG,41.3,-157.4,11
417,12640,Ferguson,Josh,RB,HOU,60.8,-157.4,10
418,10289,Smith,Torrey,WR,CAR,41.3,-157.5,7
419,11812,Grant,Ryan,WR,OAK,41.2,-157.5,6
420,13546,Griffin,Garrett,TE,NOS,4.1,-157.9,9
421,11213,Austin,Tavon,WR,DAL,39.5,-159.2,8
422,11785,Rodgers,Richard,TE,PHI,2.8,-159.3,10
423,12685,Perkins,Joshua,TE,PHI,2.4,-159.6,10
424,11367,Juszczyk,Kyle,RB,SFO,58.6,-159.7,4
425,12832,Jackson,Darius,RB,DAL,58.4,-159.9,8
426,13438,Culkin,Sean,TE,LAC,2.0,-160.1,12
427,13194,Sprinkle,Jeremy,TE,WAS,1.9,-160.1,10
428,12898,Travis,Ross,TE,IND,1.7,-160.3,6
429,13988,Dwelley,Ross,TE,SFO,1.5,-160.5,4
430,11925,Hurns,Allen,WR,MIA,38.2,-160.6,5
431,13391,Hollister,Jacob,TE,SEA,1.3,-160.7,11
432,14146,Sample,Drew,TE,CIN,1.2,-160.8,9
433,14240,Gentry,Zach,TE,PIT,1.0,-161.0,7
434,13995,Franks,Jordan,TE,CIN,1.0,-161.0,9
435,13280,Williams,Chad,WR,ARZ,37.5,-161.2,12
436,13857,Yelder,Deon,TE,KCC,0.7,-161.3,12
437,13940,Mundt,Johnny,TE,LAR,0.6,-161.5,9
438,14319,Beck,Andrew,TE,NEP,0.5,-161.5,10
466,13789,Wilkins,Jordan,RB,IND,52.8,-165.5,6
467,12824,Core,Cody,WR,CIN,32.7,-166.0,9
468,14017,Wilson,Jeffery,RB,SFO,52.2,-166.1,4
469,12161,Artis-Payne,Cameron,RB,CAR,52.0,-166.3,7
470,11104,Bellamy,Josh,WR,NYJ,31.7,-167.0,4
471,11676,Matthews,Jordan,WR,SFO,31.6,-167.1,4
472,10500,Pryor,Terrelle,WR,JAC,30.9,-167.8,10
473,12873,Jones,Andy,WR,DET,30.0,-168.8,5
474,9823,Bryant,Dez,WR,NOS,29.9,-168.8,9
475,12386,Brown,Malcolm,RB,LAR,49.3,-169.0,9
476,12261,Montgomery,Ty,RB,NYJ,48.8,-169.4,4
477,13999,Beebe,Chad,WR,MIN,26.7,-172.0,12
478,13367,Carr,Austin,WR,NOS,25.8,-173.0,9
479,12913,Erickson,Alex,WR,CIN,25.7,-173.0,9
480,14107,Arcega-Whiteside,JJ,WR,PHI,24.8,-173.9,10
481,13668,Chark,D.J.,WR,JAC,23.2,-175.5,10
482,13816,Cannon,Trenton,RB,NYJ,41.8,-176.5,4
483,10735,Quick,Brian,WR,WAS,21.8,-176.9,10
484,14121,Isabella,Andy,WR,ARZ,20.3,-178.4,12
485,14116,Hurd,Jalen,WR,SFO,20.1,-178.6,4
486,13910,Powell,Brandon,WR,DET,19.6,-179.1,5
487,13387,Johnson,Marcus,WR,IND,18.3,-180.4,6
488,13666,Fountain,Daurice,WR,IND,17.7,-181.0,6
489,14085,Pollard,Tony,RB,DAL,37.3,-181.0,8
490,12586,Jennings,Darius,WR,TEN,17.1,-181.6,11
491,11406,Butler,Brice,WR,MIA,16.5,-182.3,5
492,13648,Burnett,Deontay,WR,NYJ,16.3,-182.4,4
493,12367,Murphy,Marcus,RB,BUF,35.8,-182.5,6
494,12443,Kumerow,Jake,WR,GBP,16.2,-182.5,11
495,13384,Mizzell,Taquan,WR,CHI,15.4,-183.3,6
496,10721,Floyd,Michael,WR,BAL,14.9,-183.8,8
497,14113,Hardman,Mecole,WR,KCC,14.4,-184.3,12
498,13172,Brown,Noah,WR,DAL,14.2,-184.5,8
499,13161,Scott,Artavis,WR,LAC,13.0,-185.8,12
500,13794,Ratley,Damion,WR,CLE,12.5,-186.2,7
501,13544,Wilson,Bobo,WR,TBB,11.5,-187.2,7
502,13884,Smith,Vyncint,WR,HOU,11.3,-187.4,10
503,12465,Meredith,Cameron,WR,NEP,10.2,-188.5,10
504,13809,Gage,Russell,WR,ATL,10.0,-188.7,9
505,11101,Develin,James,RB,NEP,28.6,-189.7,10
506,13641,McCloud,Ray-Ray,WR,BUF,8.0,-190.7,6
507,13505,Hall,Marvin,WR,CHI,8.0,-190.7,6
508,12921,Lewis,Tommylee,WR,DET,7.9,-190.8,5
509,12319,Nelson,J.J.,WR,OAK,7.2,-191.5,6
510,12444,Smith,Rod,RB,NYG,26.8,-191.5,11
511,14096,Ozigbo,Devine,RB,NOS,26.5,-191.8,9
512,13871,Hilliard,Dontrell,RB,CLE,26.1,-192.2,7
513,14125,Boykin,Miles,WR,BAL,5.6,-193.2,8
514,12177,White,Kevin,WR,ARZ,4.9,-193.8,12
515,13240,Hill,Brian,RB,ATL,23.3,-195.0,9
516,11175,Ellington,Andre,RB,TBB,22.8,-195.5,7
517,13652,Wilson,Cedrick,WR,DAL,3.0,-195.7,8
518,13657,Moore,J'Mon,WR,GBP,2.9,-195.8,11
519,13990,Scott,Da'Mari,WR,BUF,2.9,-195.8,6
520,12871,Foster,D.J.,RB,ARZ,22.3,-196.0,12
521,13289,Hollins,Mack,WR,PHI,2.5,-196.2,10
522,12447,Mostert,Raheem,RB,SFO,22.0,-196.3,4
523,13235,Malone,Josh,WR,CIN,1.5,-197.2,9
524,14127,Meyers,Jakobi,WR,NEP,1.0,-197.7,10
525,13179,Dieter,Gehrig,WR,KCC,0.9,-197.8,12
526,13969,Davis,Jawill,WR,GBP,0.9,-197.8,11
527,13503,Kemp,Marcus,WR,KCC,0.7,-198.0,12
528,14267,Winfree,Juwann,WR,DEN,0.6,-198.2,10
529,13911,Willies,Derrick,WR,CLE,0.5,-198.2,7
530,13963,Hodge,KhaDarel,WR,LAR,0.5,-198.2,9
531,13644,Wims,Javon,WR,CHI,0.5,-198.3,6
532,13166,Darboh,Amara,WR,SEA,0.2,-198.5,11
533,12673,Peake,Charone,WR,NYJ,0.1,-198.6,4
534,13862,Cracraft,River,WR,DEN,0.1,-198.6,10
535,14106,Butler,Hakeem,WR,ARZ,0.1,-198.6,12
536,13170,Gibson,Shelton,WR,PHI,0.0,-198.7,10
537,12398,Taylor,Jordan,WR,MIN,0.0,-198.7,12
538,14297,Ursua,John,WR,SEA,0.0,-198.7,11
567,14277,Green,Marcus,WR,ATL,-0.1,-198.8,9
568,13184,Dural,Travin,WR,NOS,-0.1,-198.8,9
569,13169,Chesson,Jehu,WR,WAS,-0.4,-199.1,10
570,14109,McLaurin,Terry,WR,WAS,-0.5,-199.2,10
571,13529,Natson,JoJo,WR,LAR,-0.6,-199.3,9
572,10932,Bolden,Brandon,RB,NEP,18.1,-200.2,10
573,13142,Logan,T.J.,RB,ARZ,16.7,-201.6,12
574,12806,Janovich,Andy,RB,DEN,15.8,-202.5,10
575,13239,Penny,Elijhaa,RB,NYG,15.4,-202.9,11
576,12857,Washington,DeAndre,RB,OAK,15.0,-203.3,6
577,13616,Walton,Mark,RB,MIA,14.8,-203.5,5
578,13623,Williams,Darrel,RB,KCC,14.6,-203.7,12
579,13868,Boone,Mike,RB,MIN,13.9,-204.4,12
580,14074,Williams,Dexter,RB,GBP,12.4,-205.9,11
581,11432,Cunningham,Benny,RB,JAC,11.7,-206.6,10
582,14094,Scarlett,Jordan,RB,CAR,10.7,-207.6,7
583,12923,Ham,C.J.,RB,MIN,10.4,-207.9,12
584,14076,Williams,Trayveon,RB,CIN,8.4,-209.9,9
585,14098,Crockett,Damarea,RB,HOU,7.8,-210.5,10
586,14093,Armstead,Ryquell,RB,JAC,6.4,-211.9,10
587,13334,Henderson,De'Angelo,RB,MIN,6.3,-212.0,12
588,12845,Washington,Dwayne,RB,NOS,5.6,-212.7,9
589,12155,Abdullah,Ameer,RB,MIN,5.1,-213.2,12
590,14095,Johnson,Ty,RB,DET,4.1,-214.2,5
591,13891,Newsome,Detrez,RB,LAC,4.1,-214.2,12
592,14072,Snell Jr.,Benny,RB,PIT,4.1,-214.2,7
593,12040,Smith,Keith,RB,OAK,3.8,-214.5,6
594,11177,Barner,Kenjon,RB,ATL,3.7,-214.6,9
595,12631,Perkins,Paul,RB,NYG,2.5,-215.8,11
596,13958,Turner,De'Lance,RB,BAL,1.6,-216.7,8
597,13619,Kelly,John,RB,LAR,1.6,-216.7,9
598,12169,Rawls,Thomas,RB,JAC,1.5,-216.8,10
599,12639,Ervin,Tyler,RB,BAL,1.3,-217.0,8
600,13874,Wilson,Shaun,RB,WAS,1.3,-217.0,10
601,12867,Wilds,Brandon,RB,ARZ,1.1,-217.2,12
602,13143,McNichols,Jeremy,RB,TEN,0.7,-217.6,11
603,11894,Fluellen,David,RB,TEN,0.6,-217.7,11
604,10985,Olawale,Jamize,RB,DAL,0.5,-217.8,8
605,14084,Holyfield,Elijah,RB,CAR,0.3,-218.0,7
606,14083,Homer,Travis,RB,SEA,0.3,-218.0,11
607,12642,Farrow,Kenneth,RB,MIA,0.2,-218.1,5
608,14086,Hill,Justice,RB,BAL,0.2,-218.1,8
609,11964,Perry,Senorise,RB,BUF,0.2,-218.1,6
610,14088,Anderson,Rodney,RB,CIN,0.1,-218.2,9
611,13134,Foreman,D'Onta,RB,IND,0.1,-218.2,6
612,13150,Davis,Justin,RB,LAR,0.0,-218.3,9
613,12627,Prosise,C.J.,RB,SEA,0.0,-218.3,11
637,13057,Carson,Tra,RB,GBP,-0.1,-218.4,11
638,12635,Williams,Jonathan,RB,IND,-0.1,-218.4,6
639,14289,Whyte,Kerrith,RB,CHI,-0.1,-218.4,6
640,14077,Weber,Mike,RB,DAL,-0.1,-218.4,8
641,13148,Ogunbowale,Dare,RB,TBB,-0.1,-218.4,7
642,13141,Hood,Elijah,RB,CAR,-0.3,-218.6,7
643,8062,Fitzpatrick,Ryan,QB,MIA,55.2,-257.6,5
644,10697,Tannehill,Ryan,QB,TEN,51.2,-261.7,11
645,11642,Bortles,Blake,QB,LAR,50.2,-262.7,9
646,14059,Jones,Daniel,QB,NYG,42.2,-270.7,11
647,13968,Mullens,Nick,QB,SFO,37.1,-275.8,4
648,14058,Haskins,Dwayne,QB,WAS,33.5,-279.3,10
649,14062,Grier,Will,QB,CAR,32.9,-280.0,7
650,13114,Kizer,DeShone,QB,GBP,31.2,-281.7,11
651,10696,Griffin III,Robert,QB,BAL,30.9,-281.9,8
652,12815,Sudfeld,Nate,QB,PHI,29.8,-283.1,10
653,14057,Lock,Drew,QB,DEN,27.5,-285.3,10
654,10262,Gabbert,Blaine,QB,TBB,26.4,-286.5,7
655,10413,Taylor,Tyrod,QB,LAC,26.4,-286.5,12
656,13125,Beathard,C.J.,QB,SFO,24.6,-288.2,4
657,14068,Finley,Ryan,QB,CIN,22.9,-289.9,9
658,12142,Hundley,Brett,QB,ARZ,22.8,-290.1,12
659,12617,Kessler,Cody,QB,PHI,22.5,-290.3,10
660,12616,Brissett,Jacoby,QB,IND,20.0,-292.9,6
661,11151,Barkley,Matt,QB,BUF,18.9,-294.0,6
662,13424,Hill,Taysom,QB,NOS,17.0,-295.9,9
663,11640,Bridgewater,Teddy,QB,NOS,14.6,-298.3,9
664,12623,Driskel,Jeff,QB,CIN,13.4,-299.5,9
665,7813,Smith,Alex,QB,WAS,12.6,-300.3,10
666,12381,Siemian,Trevor,QB,NYJ,12.3,-300.6,4
667,13127,Peterman,Nathan,QB,OAK,12.1,-300.8,6
668,9073,Henne,Chad,QB,KCC,3.6,-309.3,12
669,13119,Dobbs,Joshua,QB,PIT,1.8,-311.0,7
670,11643,McCarron,AJ,QB,HOU,1.6,-311.3,10
671,11854,Gilbert,Garrett,QB,CLE,1.1,-311.8,7
672,13599,Lee,Tanner,QB,JAC,1.0,-311.9,10
673,13879,Allen,Kyle,QB,CAR,0.9,-311.9,7
674,11649,Savage,Tom,QB,DET,0.8,-312.1,5
675,11152,Glennon,Mike,QB,OAK,0.6,-312.2,6
676,12476,Heinicke,Taylor,QB,CAR,0.6,-312.3,7
677,11835,Fales,David,QB,DET,0.6,-312.3,5
678,9899,McCoy,Colt,QB,WAS,0.5,-312.4,10
679,12612,Lynch,Paxton,QB,SEA,0.5,-312.4,11
680,7480,Schaub,Matt,QB,ATL,0.4,-312.5,9
681,14060,Jackson,Tyree,QB,BUF,0.2,-312.7,6
682,11150,Smith,Geno,QB,SEA,0.1,-312.8,11
683,8712,Stanton,Drew,QB,CLE,0.0,-312.9,7
705,12819,Rudock,Jake,QB,MIA,-0.0,-312.9,5
706,11170,Bray,Tyler,QB,CHI,-0.0,-312.9,6
707,12145,Mannion,Sean,QB,MIN,-0.3,-313.1,12
708,13601,Lauletta,Kyle,QB,NYG,-0.8,-313.6,11
709,9714,Hoyer,Brian,QB,NEP,-1.1,-314.0,10
710,9706,Daniel,Chase,QB,CHI,-1.8,-314.6,6
