Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
1,QB,13116,"Mahomes, Patrick",KCC,JAC,21.69,284,2.36,0.55,3.65,16,0.14,0,0,0,25
2,QB,13113,"Watson, Deshaun",HOU,NOS,21.31,253,1.75,0.68,5.94,36,0.28,0,0,0,24
3,RB,13604,"Barkley, Saquon",NYG,DAL,0,0,0,0,17.92,88,0.67,5.73,42,0.22,24
4,QB,10703,"Wilson, Russell",SEA,CIN,18.11,217,2.02,0.47,4.83,28,0.13,0,0,0,22
5,QB,7836,"Rodgers, Aaron",GBP,CHI,22.92,261,1.66,0.41,3.53,21,0.1,0,0,0,22
6,RB,12625,"Elliott, Ezekiel",DAL,NYG,0,0,0,0,21.07,93,0.57,4.2,33,0.15,21
7,QB,12140,"Winston, Jameis",TBB,SFO,21.78,270,1.63,1.08,4.02,21,0.08,0,0,0,20
8,QB,13590,"Mayfield, Baker",CLE,TEN,21.44,256,1.74,1.26,3.92,17,0.06,0,0,0,20
9,QB,13589,"Allen, Josh",BUF,NYJ,17.99,212,1.06,0.72,6.32,38,0.61,0,0,0,20
10,RB,13132,"Kamara, Alvin",NOS,HOU,0,0,0,0,11.31,51,0.63,4.98,47,0.22,20
11,QB,12620,"Prescott, Dak",DAL,NYG,21.24,236,1.41,0.52,4.17,19,0.47,0,0,0,20
12,RB,13130,"McCaffrey, Christian",CAR,LAR,0,0,0,0,11.3,52,0.34,6.33,52,0.39,20
13,WR,11232,"Hopkins, DeAndre",HOU,NOS,0,0,0,0,0.03,0,0,6.66,91,0.67,20
14,QB,12610,"Wentz, Carson",PHI,WAS,20.91,235,1.92,0.68,3.32,11,0.04,0,0,0,20
15,QB,4925,"Brees, Drew",NOS,HOU,22.08,264,1.81,0.61,2.21,1,0.15,0,0,0,20
16,QB,10273,"Newton, Cam",CAR,LAR,19.08,210,1.35,1.4,7.73,40,0.29,0,0,0,20
17,QB,10700,"Cousins, Kirk",MIN,ATL,24.45,255,1.82,0.67,2.8,7,0.12,0,0,0,20
18,QB,11760,"Garoppolo, Jimmy",SFO,TBB,22.06,280,1.38,1.42,2.88,6,0.12,0,0,0,19
19,RB,11192,"Bell, Le'Veon",NYJ,BUF,0,0,0,0,15.67,74,0.52,3.69,32,0.09,19
20,QB,7401,"Roethlisberger, Ben",PIT,NEP,22.33,258,1.8,0.81,1.74,5,0.07,0,0,0,19
21,QB,10695,"Luck, Andrew",IND,LAC,23.02,252,1.87,0.8,3.54,13,0.05,0,0,0,19
22,QB,7394,"Rivers, Philip",LAC,IND,21.3,264,1.78,0.94,1.23,1,0,0,0,0,19
23,QB,12611,"Goff, Jared",LAR,CAR,20.39,253,1.56,0.66,2.51,6,0.11,0,0,0,19
24,RB,13129,"Fournette, Leonard",JAC,KCC,0,0,0,0,19.24,70,0.64,3.46,29,0.13,18
25,QB,10313,"Dalton, Andy",CIN,SEA,20.65,227,1.75,0.97,2.72,11,0,0,0,0,18
26,QB,9099,"Ryan, Matt",ATL,MIN,19.22,227,1.59,0.56,2.27,8,0.14,0,0,0,18
27,WR,11675,"Adams, Davante",GBP,CHI,0,0,0,0,0.01,0,0,6.35,78,0.68,18
28,QB,13593,"Jackson, Lamar",BAL,MIA,17.09,188,1.03,0.5,9.89,46,0.27,0,0,0,18
29,WR,11679,"Beckham, Odell",CLE,TEN,0,0,0,0,0.37,2,0.04,5.6,76,0.63,18
30,WR,12186,"Diggs, Stefon",MIN,ATL,0,0,0,0,0.48,3,0,6.74,70,0.6,18
31,WR,12652,"Thomas, Michael",NOS,HOU,0,0,0,0,0,0,0,7.1,81,0.43,18
32,WR,13156,"Smith-Schuster, JuJu",PIT,NEP,0,0,0,0,0.05,0,0,5.63,78,0.64,18
33,QB,13115,"Trubisky, Mitchell",CHI,GBP,22.23,238,1.24,0.74,4.12,22,0.18,0,0,0,18
34,WR,11938,"Thielen, Adam",MIN,ATL,0,0,0,0,0.38,2,0,6.19,76,0.45,17
35,RB,13234,"Mack, Marlon",IND,LAC,0,0,0,0,17.9,81,0.66,2.17,14,0.1,17
36,WR,11671,"Evans, Mike",TBB,SFO,0,0,0,0,0,0,0,5.37,88,0.46,17
37,QB,14056,"Murray, Kyler",ARI,DET,18.52,198,1,1,6.66,30,0.37,0,0,0,17
38,WR,9988,"Brown, Antonio",OAK,DEN,0,0,0,0,0.04,0,0,5.78,72,0.59,17
39,RB,12150,"Gurley, Todd",LAR,CAR,0,0,0,0,12.28,63,0.73,2.64,25,0.12,17
40,QB,5848,"Brady, Tom",NEP,PIT,22,253,1.54,0.67,1.65,1,0.05,0,0,0,17
41,WR,10271,"Jones, Julio",ATL,MIN,0,0,0,0,0.09,0,0,5.54,80,0.48,17
42,WR,12801,"Hill, Tyreek",KCC,JAC,0,0,0,0,1.24,7,0.09,4.67,74,0.44,17
43,RB,11886,"Williams, Damien",KCC,JAC,0,0,0,0,10.87,52,0.64,3,16,0.25,16
44,QB,9431,"Stafford, Matthew",DET,ARI,22.57,249,1.44,0.63,1.67,5,0,0,0,0,16
45,RB,13612,"Johnson, Kerryon",DET,ARI,0,0,0,0,13.3,66,0.54,3.3,25,0.14,16
46,QB,12141,"Mariota, Marcus",TEN,CLE,19.72,220,1.04,0.77,4.4,25,0.18,0,0,0,16
47,RB,11660,"Freeman, Devonta",ATL,MIN,0,0,0,0,13.81,66,0.42,2.67,21,0.16,16
48,RB,13128,"Cook, Dalvin",MIN,ATL,0,0,0,0,13.55,63,0.41,3.62,29,0.18,16
49,RB,13146,"Conner, James",PIT,NEP,0,0,0,0,13.7,64,0.57,3.46,30,0.1,16
50,WR,13277,"Golladay, Kenny",DET,ARI,0,0,0,0,0.07,0,0,4.8,70,0.5,15
51,WR,12650,"Boyd, Tyler",CIN,SEA,0,0,0,0,0.14,0,0,4.99,69,0.51,15
52,WR,11674,"Cooks, Brandin",LAR,CAR,0,0,0,0,0.56,3,0.02,4.86,74,0.33,15
53,WR,10729,"Hilton, T.Y.",IND,LAC,0,0,0,0,0,0,0,4.63,78,0.33,15
54,RB,11747,"White, James",NEP,PIT,0,0,0,0,5.04,22,0.3,4.68,39,0.27,15
55,QB,9064,"Flacco, Joe",DEN,OAK,23.13,235,1.18,0.86,2.2,7,0.08,0,0,0,15
56,QB,13591,"Rosen, Josh",MIA,BAL,19.91,209,1.13,1.06,2.66,13,0.02,0,0,0,15
57,RB,14073,"Jacobs, Josh",OAK,DEN,0,0,0,0,13.97,65,0.47,3.13,26,0,15
58,RB,13131,"Mixon, Joe",CIN,SEA,0,0,0,0,15.71,71,0.49,2.8,22,0.03,15
59,RB,12171,"Johnson, David",ARI,DET,0,0,0,0,15.89,58,0.35,3.33,29,0.14,15
60,WR,12175,"Cooper, Amari",DAL,NYG,0,0,0,0,0.16,1,0,5.06,69,0.54,15
61,WR,13163,"Godwin, Chris",TBB,SFO,0,0,0,0,0.19,1,0.04,5.18,70,0.42,15
62,RB,13610,"Chubb, Nick",CLE,TEN,0,0,0,0,14.19,68,0.54,2.31,19,0.12,15
63,QB,7391,"Manning, Eli",NYG,DAL,22.17,238,1.25,0.8,0.92,2,0.08,0,0,0,15
64,RB,10276,"Ingram, Mark",BAL,MIA,0,0,0,0,14.59,73,0.71,2.28,15,0.06,15
65,WR,10738,"Jones, Marvin",DET,ARI,0,0,0,0,0.08,0,0,4.54,68,0.42,15
66,WR,13630,"Sutton, Courtland",DEN,OAK,0,0,0,0,0.07,0,0.02,4.73,67,0.46,15
67,QB,10948,"Keenum, Case",WAS,PHI,21.43,223,1.06,0.9,2.62,11,0.11,0,0,0,15
68,WR,11678,"Robinson, Allen",CHI,GBP,0,0,0,0,0.15,1,0,5.06,70,0.28,14
69,WR,11222,"Allen, Keenan",LAC,IND,0,0,0,0,0.32,2,0,5,67,0.32,14
70,WR,13153,"Davis, Corey",TEN,CLE,0,0,0,0,0.47,3,0,4.84,62,0.32,14
71,RB,13607,"Michel, Sony",NEP,PIT,0,0,0,0,14.64,67,0.73,1.36,11,0.09,14
72,WR,9662,"Edelman, Julian",NEP,PIT,0,0,0,0,0.58,4,0,5,65,0.34,14
73,RB,14071,"Montgomery, David",CHI,GBP,0,0,0,0,11.55,50,0.53,2.7,24,0.18,14
74,WR,11228,"Woods, Robert",LAR,CAR,0,0,0,0,1.18,7,0.03,5.29,70,0.2,14
75,QB,13592,"Darnold, Sam",NYJ,BUF,16.5,185,1.01,1.15,3.38,13,0.09,0,0,0,14
76,WR,12187,"Lockett, Tyler",SEA,CIN,0,0,0,0,0.6,3,0,3.57,64,0.57,14
77,RB,13290,"Cohen, Tarik",CHI,GBP,0,0,0,0,7.06,30,0.2,4.72,40,0.23,14
78,QB,11644,"Carr, Derek",OAK,DEN,20.66,221,1.17,0.67,1.78,4,0.03,0,0,0,14
79,RB,13614,"Lindsay, Phillip",DEN,OAK,0,0,0,0,12.36,60,0.45,2.69,19,0.05,14
80,WR,12647,"Fuller, Will",HOU,NOS,0,0,0,0,0.1,0,0,4.27,57,0.45,13
81,WR,13164,"Kupp, Cooper",LAR,CAR,0,0,0,0,0.38,1,0,4.79,62,0.39,13
82,WR,11783,"Brown, John",BUF,NYJ,0,0,0,0,0.12,0,0,4.11,64,0.55,13
83,WR,10722,"Jeffery, Alshon",PHI,WAS,0,0,0,0,0.02,0,0,4.19,58,0.43,13
84,WR,12930,"Anderson, Robby",NYJ,BUF,0,0,0,0,0.14,0,0,4.24,60,0.48,13
85,WR,12658,"Shepard, Sterling",NYG,DAL,0,0,0,0,0.25,1,0,4.31,64,0.35,13
86,RB,13621,"Ballage, Kalen",MIA,BAL,0,0,0,0,11.26,57,0.3,2.43,21,0.16,13
87,WR,13154,"Williams, Mike",LAC,IND,0,0,0,0,0.29,1,0.01,3.86,58,0.54,13
88,RB,12151,"Gordon, Melvin",LAC,IND,0,0,0,0,11.78,51,0.55,2.43,22,0.15,13
89,TE,11244,"Kelce, Travis",KCC,JAC,0,0,0,0,0.02,0,0,4.44,57,0.43,13
90,TE,11247,"Ertz, Zach",PHI,WAS,0,0,0,0,0,0,0,5.27,54,0.42,13
91,RB,13364,"Carson, Chris",SEA,CIN,0,0,0,0,14.45,63,0.47,1.81,13,0.05,13
92,RB,12626,"Henry, Derrick",TEN,CLE,0,0,0,0,13.61,65,0.69,1.17,11,0.04,13
93,WR,13634,"Pettis, Dante",SFO,TBB,0,0,0,0,0.13,1,0,3.59,58,0.56,13
94,RB,12634,"Howard, Jordan",PHI,WAS,0,0,0,0,12.25,49,0.51,1.8,18,0.11,13
95,WR,13635,"Moore, D.J.",CAR,LAR,0,0,0,0,0.66,4,0.04,4.32,61,0.34,13
96,RB,12152,"Coleman, Tevin",SFO,TBB,0,0,0,0,11.16,59,0.3,2.08,18,0.12,13
97,WR,11680,"Landry, Jarvis",CLE,TEN,0,0,0,0,0.11,1,0.05,5.14,61,0.28,13
98,RB,10708,"Miller, Lamar",HOU,NOS,0,0,0,0,13.24,55,0.26,2.25,17,0.12,12
99,WR,12665,"Allison, Geronimo",GBP,CHI,0,0,0,0,0.33,2,0,4.05,53,0.27,12
100,WR,7393,"Fitzgerald, Larry",ARI,DET,0,0,0,0,0,0,0,4.96,53,0.36,12
101,RB,13605,"Guice, Derrius",WAS,PHI,0,0,0,0,9.45,43,0.36,2.62,21,0.16,12
102,RB,13608,"Penny, Rashaad",SEA,CIN,0,0,0,0,10.95,59,0.29,2.07,18,0.02,12
103,RB,12637,"Barber, Peyton",TBB,SFO,0,0,0,0,16.93,63,0.43,1.66,9,0.03,12
104,RB,13319,"Jones, Aaron",GBP,CHI,0,0,0,0,11.02,54,0.5,2.34,18,0.07,12
105,WR,11677,"Moncrief, Donte",PIT,NEP,0,0,0,0,0.09,0,0,4.7,55,0.14,12
106,WR,9918,"Sanders, Emmanuel",DEN,OAK,0,0,0,0,0.29,2,0.04,5.35,62,0.23,12
107,WR,13629,"Ridley, Calvin",ATL,MIN,0,0,0,0,0.3,1,0,4.33,51,0.57,12
108,TE,12676,"Henry, Hunter",LAC,IND,0,0,0,0,0,0,0,3.64,45,0.32,11
109,RB,13404,"Ekeler, Austin",LAC,IND,0,0,0,0,7.17,35,0.22,3.1,27,0.16,11
110,RB,13768,"Smith, Ito",ATL,MIN,0,0,0,0,11.18,40,0.26,2.67,16,0.06,11
111,TE,9474,"Cook, Jared",NOS,HOU,0,0,0,0,0,0,0,3.83,49,0.26,11
112,RB,9448,"McCoy, LeSean",BUF,NYJ,0,0,0,0,12.14,41,0.28,2.63,20,0.05,11
113,QB,10699,"Foles, Nick",JAC,KCC,14.15,146,0.81,0.97,2.89,17,0.07,0,0,0,11
114,RB,11761,"McKinnon, Jerick",SFO,TBB,0,0,0,0,8.21,35,0,2.9,21,0.1,10
115,RB,14079,"Sanders, Miles",PHI,WAS,0,0,0,0,11.48,48,0.17,2.29,18,0,10
116,TE,13188,"Howard, O.J.",TBB,SFO,0,0,0,0,0,0,0,2.7,40,0.47,10
117,RB,13606,"Jones, Ronald",TBB,SFO,0,0,0,0,7.8,46,0.38,2.21,13,0,10
118,WR,12773,"Moore, Chris",BAL,MIA,0,0,0,0,0.17,0,0,3.19,42,0.56,10
119,TE,13299,"Kittle, George",SFO,TBB,0,0,0,0,0.05,0,0,3.61,51,0.19,10
120,TE,11705,"Burton, Trey",CHI,GBP,0,0,0,0,0.04,0,0,3.59,35,0.4,10
121,RB,14087,"Henderson, Darrell",LAR,CAR,0,0,0,0,8.29,53,0.46,0.68,7,0.02,10
122,TE,6997,"Witten, Jason",DAL,NYG,0,0,0,0,0,0,0,4.2,39,0.32,10
123,RB,13617,"Freeman, Royce",DEN,OAK,0,0,0,0,11.56,47,0.39,1.73,9,0,10
124,WR,10960,"Gordon, Josh",NEP,PIT,0,0,0,0,0.41,2,0,2.92,47,0.27,10
125,TE,8416,"Walker, Delanie",TEN,CLE,0,0,0,0,0.04,0,0,3.68,42,0.27,10
126,RB,13613,"Samuels, Jaylen",PIT,NEP,0,0,0,0,6.76,30,0.05,3.01,21,0.4,10
127,RB,8658,"Peterson, Adrian",WAS,PHI,0,0,0,0,12.66,49,0.27,1.74,15,0.03,10
128,WR,13793,"Valdes-Scantling, Marquez",GBP,CHI,0,0,0,0,0.25,1,0,3.86,52,0.09,10
129,WR,10723,"Sanu, Mohamed",ATL,MIN,0,0,0,0,0.38,2,0,3.5,44,0.16,10
130,WR,8673,"Ginn Jr., Ted",NOS,HOU,0,0,0,0,0.38,2,0,3.69,51,0.22,10
131,TE,11695,"Ebron, Eric",IND,LAC,0,0,0,0,0.1,0,0.03,3.15,34,0.5,9
132,RB,11193,"Bernard, Giovani",CIN,SEA,0,0,0,0,5.81,22,0.16,3.25,23,0.08,9
133,WR,12176,"Parker, DeVante",MIA,BAL,0,0,0,0,0.01,0,0,3.9,44,0.13,9
134,WR,13157,"Samuel, Curtis",CAR,LAR,0,0,0,0,0.62,4,0.08,3.17,35,0.28,9
135,WR,11681,"Richardson, Paul",WAS,PHI,0,0,0,0,0.19,1,0,2.86,39,0.27,9
136,WR,13646,"Gallup, Michael",DAL,NYG,0,0,0,0,0,0,0,3.4,48,0.17,9
137,RB,13622,"Hines, Nyheim",IND,LAC,0,0,0,0,5.85,23,0.14,3.45,25,0.02,9
138,WR,11227,"Stills, Kenny",MIA,BAL,0,0,0,0,0.03,0,0,2.84,41,0.34,9
139,TE,11257,"McDonald, Vance",PIT,NEP,0,0,0,0,0,0,0,3.45,38,0.26,9
140,WR,12205,"Funchess, Devin",IND,LAC,0,0,0,0,0,0,0,3.18,40,0.27,9
141,WR,11670,"Watkins, Sammy",KCC,JAC,0,0,0,0,0.48,3,0,3.26,46,0.22,9
142,TE,11248,"Reed, Jordan",WAS,PHI,0,0,0,0,0,0,0,3.57,35,0.19,9
143,WR,9075,"Jackson, DeSean",PHI,WAS,0,0,0,0,0.28,1,0.04,3.09,47,0.15,9
144,WR,13662,"Coutee, Keke",HOU,NOS,0,0,0,0,0.24,1,0,3.57,42,0.17,9
145,TE,8687,"Olsen, Greg",CAR,LAR,0,0,0,0,0,0,0,3.13,36,0.36,9
146,RB,13850,"Edwards, Gus",BAL,MIA,0,0,0,0,11.87,57,0.17,1.22,8,0.05,9
147,WR,11239,"Goodwin, Marquise",SFO,TBB,0,0,0,0,0.25,1,0,2.65,42,0.32,9
148,TE,13192,"Njoku, David",CLE,TEN,0,0,0,0,0.03,0,0,3.34,41,0.3,9
149,WR,13645,"Smith, Tre'Quan",NOS,HOU,0,0,0,0,0.14,1,0,2.54,35,0.31,9
150,RB,14080,"Singletary, Devin",BUF,NYJ,0,0,0,0,8.4,60,0.07,1.57,13,0,9
151,RB,11657,"Hyde, Carlos",KCC,JAC,0,0,0,0,8.99,33,0.15,1.54,14,0.11,9
152,TE,11516,"Doyle, Jack",IND,LAC,0,0,0,0,0,0,0,3.5,32,0.3,9
153,TE,9925,"Graham, Jimmy",GBP,CHI,0,0,0,0,0,0,0,3.51,38,0.23,9
154,WR,13639,"Miller, Anthony",CHI,GBP,0,0,0,0,0.39,2,0,2.71,32,0.45,9
155,RB,11454,"Anderson, C.J.",DET,ARI,0,0,0,0,8.68,43,0.16,2.13,14,0.05,9
156,RB,11186,"Thompson, Chris",WAS,PHI,0,0,0,0,5.8,21,0,4.48,25,0.02,9
157,RB,12261,"Montgomery, Ty",NYJ,BUF,0,0,0,0,7.79,29,0.13,1.96,17,0,8
158,RB,13620,"Jackson, Justin",LAC,IND,0,0,0,0,6.51,31,0.2,2.33,20,0,8
159,TE,14138,"Hockenson, T.J.",DET,ARI,0,0,0,0,0,0,0,3.06,33,0.29,8
160,WR,13176,"Jones, Zay",BUF,NYJ,0,0,0,0,0.08,0,0,3.04,34,0.3,8
161,WR,13633,"Kirk, Christian",ARI,DET,0,0,0,0,0.2,1,0,2.93,36,0.2,8
162,WR,13631,"Washington, James",PIT,NEP,0,0,0,0,0.06,0,0.03,2.97,42,0.14,8
163,TE,13189,"Engram, Evan",NYG,DAL,0,0,0,0,0.16,1,0,3.32,41,0.23,8
164,TE,10312,"Rudolph, Kyle",MIN,ATL,0,0,0,0,0,0,0,3.38,32,0.31,8
165,WR,13348,"Moore, David",SEA,CIN,0,0,0,0,0.25,2,0,2.4,42,0.41,8
166,WR,12197,"Perriman, Breshad",TBB,SFO,0,0,0,0,0.18,0,0,2.8,43,0.19,8
167,WR,11672,"Lee, Marqise",JAC,KCC,0,0,0,0,0.15,1,0,3.35,41,0.22,8
168,TE,11250,"Eifert, Tyler",CIN,SEA,0,0,0,0,0,0,0,3.05,33,0.29,8
169,RB,11390,"Murray, Latavius",NOS,HOU,0,0,0,0,8.45,35,0.51,1.4,9,0.04,8
170,WR,13412,"Cole, Keelan",JAC,KCC,0,0,0,0,0.09,1,0,3.46,44,0.04,8
171,WR,9308,"Amendola, Danny",DET,ARI,0,0,0,0,0.11,0,0,3.82,37,0.05,8
172,RB,14223,"Mattison, Alexander",MIN,ATL,0,0,0,0,12.7,41,0.19,2.25,12,0,8
173,RB,14085,"Pollard, Tony",DAL,NYG,0,0,0,0,6.81,58,0.05,1.16,8,0,8
174,RB,13139,"Williams, Jamaal",GBP,CHI,0,0,0,0,7.54,30,0.21,1.71,15,0.03,8
175,TE,13674,"Goedert, Dallas",PHI,WAS,0,0,0,0,0,0,0,2.68,26,0.38,8
176,RB,13144,"McGuire, Elijah",NYJ,BUF,0,0,0,0,7.97,24,0.21,2.01,19,0.1,8
177,TE,13763,"Dissly, Will",SEA,CIN,0,0,0,0,0,0,0,2.3,29,0.45,8
178,WR,14122,"Slayton, Darius",NYG,DAL,0,0,0,0,0.2,1,0,2.5,35,0.18,8
179,WR,11975,"Gabriel, Taylor",CHI,GBP,0,0,0,0,0.62,4,0,3.53,36,0.04,8
180,WR,12648,"Doctson, Josh",WAS,PHI,0,0,0,0,0.08,0,0,3.31,43,0.24,8
181,WR,13155,"Ross, John",CIN,SEA,0,0,0,0,0.04,0,0,2.01,26,0.44,8
182,WR,13158,"Westbrook, Dede",JAC,KCC,0,0,0,0,0.42,3,0,3.07,37,0.22,8
183,WR,12184,"Crowder, Jamison",NYJ,BUF,0,0,0,0,0.31,2,0,3.68,40,0.06,8
184,RB,10389,"Lewis, Dion",TEN,CLE,0,0,0,0,8.97,33,0.06,3.02,21,0.08,8
185,WR,11850,"Enunwa, Quincy",NYJ,BUF,0,0,0,0,0.08,0,0,3.08,37,0.11,8
186,WR,12656,"Higgins, Rashard",CLE,TEN,0,0,0,0,0.1,0,0,2.36,37,0.24,7
187,TE,13193,"Smith, Jonnu",TEN,CLE,0,0,0,0,0.01,0,0,2.35,27,0.25,7
188,WR,12505,"Humphries, Adam",TEN,CLE,0,0,0,0,0.09,0,0,2.94,30,0.11,7
189,RB,12636,"Smallwood, Wendell",PHI,WAS,0,0,0,0,5.21,21,0.13,1.56,13,0.1,7
190,RB,13378,"Breida, Matt",SFO,TBB,0,0,0,0,6.86,35,0.1,1.2,12,0.06,7
191,RB,12912,"Richard, Jalen",OAK,DEN,0,0,0,0,2.78,14,0.04,3.29,28,0.05,7
192,TE,12677,"Hooper, Austin",ATL,MIN,0,0,0,0,0,0,0,3.47,33,0.19,7
193,RB,12157,"Johnson, Duke",HOU,NOS,0,0,0,0,4.75,20,0.13,2.09,19,0.03,7
194,RB,11834,"Blue, Alfred",JAC,KCC,0,0,0,0,11.37,41,0.19,1.43,10,0,7
195,WR,12181,"Agholor, Nelson",PHI,WAS,0,0,0,0,0.29,2,0,2.78,31,0.19,7
196,WR,13649,"Hamilton, DaeSean",DEN,OAK,0,0,0,0,0.08,0,0,3.28,33,0.14,7
